,index,ci_course_no,test_time,ci_class_name,ci_student_number,ci_teacher_name,ci_class_unit
124,124,T5130F4001,0,"社会工作191班,人力资源管理191班,人力资源管理192班,劳动与社会保障191班,公共关系学191班,公共关系学192班",36,-1,大学英语
125,125,T5130F4001,0,"社会工作191班,人力资源管理191班,人力资源管理192班,劳动与社会保障191班,公共关系学191班,公共关系学192班",37,-1,大学英语
126,126,T5130F4001,0,"土木工程（道路桥梁方向）卓越计划191班,土木工程（地下工程方向）191班",29,-1,大学英语
127,127,T5130F4001,0,"土木工程（道路桥梁方向）卓越计划191班,土木工程（地下工程方向）191班",31,-1,大学英语
128,128,T5130F4001,0,"工程力学191班,数学与应用数学191班",32,-1,大学英语
129,129,T5130F4001,0,"水利水电工程191班,水利水电工程192班",30,-1,大学英语
130,130,T5130F4001,0,"水利水电工程191班,水利水电工程192班",33,-1,大学英语
131,131,T5130F4001,0,"工程管理191班,工程管理192班,工业设计191班",27,-1,大学英语
132,132,T5130F4001,0,"工程管理191班,工程管理192班,工业设计191班",36,-1,大学英语
133,133,T5130F4001,0,"物理学类191班,物理学类192班,物理学类193班,应用物理学（微电子方向）192班,信息与计算科学191班,应用物理学（应用电子方向）191班,物理学191班",27,-1,大学英语
134,134,T5130F4001,0,"物理学类191班,物理学类192班,物理学类193班,应用物理学（微电子方向）192班,信息与计算科学191班,应用物理学（应用电子方向）191班,物理学191班",32,-1,大学英语
135,135,T5130F4001,0,"物理学类191班,物理学类192班,物理学类193班,应用物理学（微电子方向）192班,信息与计算科学191班,应用物理学（应用电子方向）191班,物理学191班",31,-1,大学英语
136,136,T5130F4001,0,"物理学类191班,物理学类192班,物理学类193班,物理学191班",27,-1,大学英语
137,137,T5130F4001,0,2019级前湖学院综合实验班,30,-1,大学英语
138,138,T5130F4001,0,历史学192班,23,-1,大学英语
139,139,T5130F4001,0,档案学191班,29,-1,大学英语
140,140,T5130F4001,0,"历史学191班,档案学191班",32,-1,大学英语
141,141,T5130F4001,0,临班707,55,-1,大学英语
142,142,T5130F4001,0,临班708,41,-1,大学英语
143,143,T5130F4001,0,临床医学191班,39,-1,大学英语
144,144,T5130F4001,0,"临床医学191班,临床医学192班",39,-1,大学英语
145,145,T5130F4001,0,"临床医学192班,临床医学193班",35,-1,大学英语
146,146,T5130F4001,0,"临床医学193班,临床医学194班",39,-1,大学英语
147,147,T5130F4001,0,"临床医学194班,临床医学195班",35,-1,大学英语
148,148,T5130F4001,0,临床医学195班,33,-1,大学英语
149,149,T5130F4001,0,"临床医学（卓越班）191班,临床医学（卓越班）192班,临床医学（卓越眼科实验班）191班",45,-1,大学英语
150,150,T5130F4001,0,临床医学196班,43,-1,大学英语
151,151,T5130F4001,0,医学检验技术191班,45,-1,大学英语
152,152,T5130F4001,0,临床医学199班,39,-1,大学英语
153,153,T5130F4001,0,"临床医学199班,临床医学1910班",39,-1,大学英语
154,154,T5130F4001,0,"预防医学191班,临床医学1910班",36,-1,大学英语
155,155,T5130F4001,0,"预防医学191班,预防医学192班",35,-1,大学英语
156,156,T5130F4001,0,预防医学192班,35,-1,大学英语
157,157,T5130F4001,0,"预防医学192班,眼视光学191班",29,-1,大学英语
158,158,T5130F4001,0,康复治疗学191班,36,-1,大学英语
159,159,T5130F4001,0,儿科学191班,30,-1,大学英语
160,160,T5130F4001,0,基础医学191班,32,-1,大学英语
161,161,T5130F4001,0,医学影像学191班,48,-1,大学英语
162,162,T5130F4001,0,医学影像学192班,47,-1,大学英语
163,163,T5130F4001,0,临床医学197班,42,-1,大学英语
164,164,T5130F4001,0,临床医学198班,43,-1,大学英语
165,165,T5130F4001,0,麻醉学191班,41,-1,大学英语
166,166,T5130F4001,0,麻醉学192班,43,-1,大学英语
167,167,T5130F4001,0,眼视光医学191班,29,-1,大学英语
168,168,T5130F4001,0,临床药学191班,30,-1,大学英语
169,169,T5130F4001,0,药学191班,42,-1,大学英语
170,170,T5130F4001,0,药学192班,39,-1,大学英语
171,171,T5130F4001,0,药学193班,44,-1,大学英语
172,172,T5130F4001,0,口腔医学191班,50,-1,大学英语
