ci_course_no,ci_course_name,ci_teacher_name,ci_teacher_group,ci_class_name,ci_student_number,ci_class_att,ci_class_sign,ci_class_dep,ci_class_stat,ci_exam_type,ci_union_no,ci_original_remark,ci_appoint,ci_remark
610ZP220,数据结构与算法导论,刘小东,,电子信息类[201-3]班,91,必修,1,信工学院,0,笔试考试,,,0,
610ZP220,数据结构与算法导论,刘小东,,电子信息类[204-6]班,85,必修,1,信工学院,0,笔试考试,,,0,
610ZP220,数据结构与算法导论,刘小东,,电子信息类[207-8]班,62,必修,1,信工学院,0,笔试考试,,,0,
610ZP001,电路分析,戴伟华,,电子信息类[205-6]班,65,必修,1,信工学院,0,笔试考试,,,0,
610ZP001,电路分析,汪庆年,,电子信息类[201-2]班,71,必修,1,信工学院,0,笔试考试,,,0,
610ZP001,电路分析,胡建功,,电子信息类[203-4]班,71,必修,1,信工学院,0,笔试考试,,,0,
610ZP001,电路分析,戴伟华,,电子信息类[207-8]班,96,必修,1,信工学院,0,笔试考试,,,0,
Z611KB0003,毕业实习,,,计算机科学与技术（卓越计划）171班,18,必修,1,信工学院,0,笔试考试,,,0,
Z611KB0004,毕业设计,,,计算机科学与技术（卓越计划）171班,18,必修,1,信工学院,0,笔试考试,,,0,
Z6110X0002,Linux程序设计,杨承根,,"计算机科学与技术（软件技术）185班,数据科学与大数据技术181班,计算机科学与技术（卓越计划）181班",77,选修,1,信工学院,0,笔试考试,,,0,
T7210P0002,马克思主义基本原理,宗伟,,"测控技术与仪器[191-2]班,物联网工程[191-2]班",109,必修,1,马克思主义学院,0,笔试考试,,,0,
J6160G0014,模拟电子技术,李倡洪:赵俊,,电气工程及其自动化[191-3]班,151,必修,1,信工学院,0,笔试考试,,,0,
J6160G0025,"数字电子技术(I)	",张福阳,,电气工程及其自动化[191-3]班,118,必修,1,信工学院,0,笔试考试,,,0,
Z6130B1008,电机学(上),夏永洪,,电气工程及其自动化193班,47,必修,1,信工学院,0,笔试考试,,,0,
Z6130B1008,电机学(上),陈瑛,,电气工程及其自动化[191-2]班,82,必修,1,信工学院,0,笔试考试,,,0,
Z611KB0003,毕业实习,,,通信工程（航天班）171班,2,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0052,物联网体系结构及综合实训,洪向共:吴法辉,,物联网工程[181-2]班,47,必修,1,信工学院,0,笔试考试,,,0,
Z6120X0008,无线传感器网络,庞烨:宋贤林,,物联网工程[181-2]班,47,必修,1,信工学院,0,笔试考试,,,0,
Z6120X0015,数字图像处理,邓素辉,,"通信工程（卓越计划）181班,电子信息工程[181-3]班,通信工程[181-4]班,物联网工程[181-2]班",56,选修,1,信工学院,0,笔试考试,,,0,
Z612SX0006,DSP应用技术,段荣行,,"通信工程（卓越计划）181班,通信工程[182-4]班,物联网工程[181-2]班",85,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0106,软件工程,刘且根,,物联网工程[181-2]班,47,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0021,WEB程序设计,刘斌,,物联网工程[181-2]班,47,选修,1,信工学院,0,笔试考试,,,0,
Z6120B0006,通信原理,赖青梧,,物联网工程[181-2]班,56,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0035,人工智能,邱桃荣:张卫平,,计算机科学与技术（软件技术）185班,34,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0035,人工智能,黄伟,,计算机科学与技术（软件技术）[181-4]班,116,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0033,网络安全概论,于海雯,,"计算机科学与技术（软件技术）185班,计算机科学与技术（可视化技术）181班",62,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0033,网络安全概论,白小明,,计算机科学与技术（软件技术）[181-2]班,59,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0033,网络安全概论,万明,,计算机科学与技术（软件技术）[183-4]班,56,必修,1,信工学院,0,笔试考试,,,0,
Z6110X0035,云计算技术,戴田宇,,计算机科学与技术（软件技术）[181-3]班,85,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0035,云计算技术,戴田宇,,"计算机科学与技术（软件技术）[184-5]班,计算机科学与技术（卓越计划）181班",66,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0063,数字图像处理,杨承根,,计算机科学与技术（可视化技术）181班,19,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0033,算法分析与设计,江顺亮,,计算机科学与技术（软件技术）[181-3]班,85,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0033,算法分析与设计,白似雪:薛之昕,,计算机科学与技术（软件技术）[184-5]班,64,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0002,Linux程序设计,刘丽,,计算机科学与技术（软件技术）[181-4]班,115,选修,1,信工学院,0,笔试考试,,,0,
Z6110X0017,Windows程序设计,吴建生,,计算机科学与技术（可视化技术）181班,12,选修,1,信工学院,0,笔试考试,,,0,
Z6110B0006,软件工程,武友新,,"数据科学与大数据技术181班,计算机科学与技术（可视化技术）181班",65,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0006,软件工程,段隆振,,计算机科学与技术（软件技术）[181-2]班,59,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0006,软件工程,陈海,,"计算机科学与技术（软件技术）185班,计算机科学与技术（卓越计划）181班",53,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0006,软件工程,韩清,,计算机科学与技术（软件技术）[183-4]班,56,必修,1,信工学院,0,笔试考试,,,0,
Z6110X0038,3D图形程序设计,刘云根,,计算机科学与技术（可视化技术）181班,32,选修,1,信工学院,0,笔试考试,,,0,
610GL602,电路与电子学（I）实验,王玉皞,,人工智能201班,55,必修,1,信工学院,0,笔试考试,,,0,
610ZP601,离散数学,徐子晨,,人工智能201班,55,必修,1,信工学院,0,笔试考试,,,0,
610GL601,电路与电子学（I）,王玉皞,,人工智能201班,55,必修,1,信工学院,0,笔试考试,,,0,
610GJ005,C++程序设计,刘且根,,人工智能201班,55,必修,1,信工学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,黄美文,,"测控技术与仪器[191-2]班,计算机类196班,物联网工程[191-2]班",132,必修,1,马克思主义学院,0,笔试考试,,,0,
T7210P4006,形势与政策（4）,谢国兰,,计算机类[191-5]班,163,必修,1,马克思主义学院,0,笔试考试,,,0,
Z6110B0032,数据库原理及应用开发,冯豫华,,计算机类[191-2]班,84,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0032,数据库原理及应用开发,白似雪,,计算机类[195-6]班,64,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0032,数据库原理及应用开发,陈海,,计算机类[193-4]班,66,必修,1,信工学院,0,笔试考试,,,0,
T7210P0002,马克思主义基本原理,杨汇智,,计算机类[191-4]班,129,必修,1,马克思主义学院,0,笔试考试,,,0,
Z6110B0004,计算机网络,周聪,,计算机类194班,36,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0004,计算机网络,伍军云,,计算机类192班,36,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0004,计算机网络,韩清,,计算机类195班,33,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0004,计算机网络,于海雯,,计算机类196班,36,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0004,计算机网络,周聪,,计算机类193班,50,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0005,JAVA语言程序设计,陈轶,,计算机类194班,33,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0005,JAVA语言程序设计,梁声灼,,计算机类[191-2]班,68,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0005,JAVA语言程序设计,肖建,,计算机类[195-6]班,82,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0005,JAVA语言程序设计,文喜,,计算机类193班,34,必修,1,信工学院,0,笔试考试,,,0,
J6110G0009,计算机组织与结构,白小明,,计算机类194班,33,必修,1,信工学院,0,笔试考试,,,0,
J6110G0009,计算机组织与结构,徐苏,,计算机类192班,33,必修,1,信工学院,0,笔试考试,,,0,
J6110G0009,计算机组织与结构,徐苏,,计算机类191班,40,必修,1,信工学院,0,笔试考试,,,0,
J6110G0009,计算机组织与结构,唐祎玲,,计算机类195班,35,必修,1,信工学院,0,笔试考试,,,0,
J6110G0009,计算机组织与结构,于海雯,,计算机类196班,36,必修,1,信工学院,0,笔试考试,,,0,
J6110G0009,计算机组织与结构,张乐,,计算机类193班,47,必修,1,信工学院,0,笔试考试,,,0,
Z6110B0004,计算机网络,曾庆鹏,,"人工智能班191班,计算机类191班",54,选修,1,信工学院,0,笔试考试,,,0,
Z6110B0005,JAVA语言程序设计,,,人工智能班191班,0,选修,1,信工学院,0,笔试考试,,,0,
J6160G0020,电子技术II（模拟电子线路）,陈素华,,人工智能班191班,44,必修,1,信工学院,0,笔试考试,,,0,
J6160G0012,现代控制理论,胡凌燕:吴肖龙,,人工智能班191班,44,必修,1,信工学院,0,笔试考试,,,0,
Z6190G0015,数据库原理与应用,刘韬:万明,,人工智能班191班,44,必修,1,信工学院,0,笔试考试,,,0,
J6190G0009,计算机组织原理,张乐,,人工智能班191班,44,必修,1,信工学院,0,笔试考试,,,0,
J6160G0017,项目经济管理,刘且根:万文博,,人工智能班191班,44,必修,1,信工学院,0,笔试考试,,,0,
J6190G0011,数字信号处理,魏静波,,人工智能班191班,44,必修,1,信工学院,0,笔试考试,,,0,
Z613KB0004,毕业实习,简文娟:乐健:汪兴贤:王俐,,自动化[171-4]班,117,必修,1,信工学院,0,笔试考试,,,0,
Z613KB0008,毕业设计（论文）,吴肖龙,,自动化[171-4]班,115,必修,1,信工学院,0,笔试考试,,,0,
Z612SX0030,传感器与测量技术,徐晓玲,,电子信息工程[182-3]班,55,选修,1,信工学院,0,笔试考试,,,0,
Z612SX0030,传感器与测量技术,张明辉,,电子信息工程181班,30,选修,1,信工学院,0,笔试考试,,,0,
Z6120X0088,虚拟仪器技术,陈素华,,物联网工程182班,0,选修,1,信工学院,0,笔试考试,,,0,
Z612SX0031,无线传感器网络,罗晓梅,,电子信息工程[182-3]班,54,选修,1,信工学院,0,笔试考试,,,0,
Z612SX0031,无线传感器网络,秦东,,电子信息工程181班,29,选修,1,信工学院,0,笔试考试,,,0,
Z612SX0006,DSP应用技术,宋贤林,,"电子信息工程[181-3]班,通信工程181班",93,选修,1,信工学院,0,笔试考试,,,0,
Z6120B0006,通信原理,罗晓梅,,电子信息工程[181-2]班,57,必修,1,信工学院,0,笔试考试,,,0,
Z6120B0006,通信原理,张烨,,电子信息工程183班,31,必修,1,信工学院,0,笔试考试,,,0,
Z6120X0045,数字电视与图像通信,,,电子信息工程182班,0,选修,1,信工学院,0,笔试考试,,,0,
Z6120X0045,数字电视与图像通信,,,电子信息工程181班,0,选修,1,信工学院,0,笔试考试,,,0,
Z6120X0047,射频与微波技术,邓军华,,"电子信息工程[181-3]班,通信工程[181-2]班",61,选修,1,信工学院,0,笔试考试,,,0,
101CL001,大学生职业发展与就业指导,胡邦宁:吴丹,,"人工智能201班,测控技术与仪器[201-2]班",110,必修,1,公共课排课,0,笔试考试,,,0,
720GS002,中国近现代史纲要,吴俐磊,,"金融数学201班,测控技术与仪器201班,高等研究院稀土实验班201班",84,必修,1,马克思主义学院,0,笔试考试,,,0,
720GS002,中国近现代史纲要,吴俐磊,,"机械设计制造及其自动化[201-2]班,测控技术与仪器202班,前湖学院综合实验班201班",134,必修,1,马克思主义学院,0,笔试考试,,,0,
590GL008,工程制图（3）,余桂英,,测控技术与仪器[201-2]班,59,必修,1,机电学院,0,笔试考试,,,0,
550GL019,线性代数,肖岚,,"生物工程[201-2]班,测控技术与仪器[201-2]班",95,必修,1,理学院,0,笔试考试,,,0,
Z611KB0003,毕业实习,,,电气工程及其及自动化（航天班）171班,1,必修,1,信工学院,0,笔试考试,,,0,
